A07BC;Teised sooleadsorbendid;
A07BC01;pektiin;
A07BC02;kaoliin;
A07BC03;krospovidoon;
A07BC05;diosmektiid;
A07C;ELEKTROLÜÜDID KOOS SÜSIVESIKUTEGA;
A07CA;Suukaudsed rehüdratatsioonisoolad;
A07CA80;naatriumkloriid+kaaliumkloriid+naatriumtsitraat+glükoos;
A07D;SOOLE MOTOORIKAT PÄRSSIVAD AINED;
A07DA;Soole motoorikat pärssivad ained;
A07DA01;difenoksülaat;
A07DA02;oopium;
A07DA03;loperamiid;
A07DA04;difenoksiin;
A07DA06;eluksadoliin;
A07DA80;loperamiid+simetikoon;
A07E;SOOLEPÕLETIKUVASTASED AINED;
A07EA;Lokaalselt toimivad kortikosteroidid;
A07EA01;prednisoloon;
A07EA02;hüdrokortisoon;
A07EA03;prednisoon;
A07EA04;beetametasoon;
A07EA05;tiksokortool;
A07EA06;budesoniid;
A07EA07;beklometasoon;
A07EB;Antiallergilised ained, v.a kortikosteroidid;
A07EB01;kromoglütsiinhape;
A07EC;Aminosalitsüülhape ja sarnased ained;
A07EC01;sulfasalasiin;
A07EC02;mesalasiin;
A07EC03;olsalasiin;
A07F;KÕHULAHTISUSEVASTASED MIKROORGANISMID;
A07FA;Kõhulahtisusevastased mikroorganismid;
A07FA01;piimhappe bakterid;
A07FA02;Saccharomyces boulardii;
A07FA80;E. coli strain NISSLE 1917;
A07FA81;Lactobacillus bifidus, Biphidobacterium infants v.;
A07FA82;piimhape+pektiin;
A07FA83;Lactobacillus acidophilus+Bifidobacterium animalis subsp. lactis;
A07X;TEISED KÕHULAHTISUSEVASTASED AINED;
A07XA;Teised kõhulahtisusevastased ained;
A07XA01;albumiintannaat;
A07XA02;tseratoon;
A07XA04;ratsekadotriil;
A08;RASVUMUSVASTASED AINED, V.A DIEEDIKS KASUTATAVAD;
A08A;RASVUMUSVASTASED AINED, V.A DIEEDIKS KASUTATAVAD;
A08AA;Tsentraalse toimega rasvumusvastased ained;
A08AA01;fentermiin;
A08AA02;fenfluramiin;
A08AA03;amfepramoon;
A08AA04;deksfenfluramiin;
A08AA05;masindool;
A08AA06;etüülamfetamiin;
A08AA07;katiin;
A08AA08;klobensoreks;
A08AA09;mefenoreks;
A08AA10;sibutramiin;
A08AA12;setmelanotiid;
A08AA62;bupropioon+naltreksoon;
A08AA80;efedriin+kofeiin;
A08AB;Perifeerse toimega rasvumusvastased ained;
A08AB01;orlistaat;
A08AX;Teised rasvumusvastased ained;
A08AX01;rimonabant;
A09;SEEDIMIST SOODUSTAVAD AINED, K.A ENSÜÜMID;
A09A;SEEDIMIST SOODUSTAVAD AINED, K.A ENSÜÜMID;
A09AA;Ensüümid;
A09AA01;amülaas;
A09AA02;lipaas+amülaas+proteaas;
A09AA03;pepsiin;
A09AA80;lipaas+amülaas+proteaas+dimetikoon;
A09AB;Happed;
A09AB01;glutamiinhape;
A09AB03;vesinikkloriidhape, lahjendatud;
A09AB04;sidrunhape;
A09AC;Ensüümide ja hapete kombinatsioonid;
A09AC80;pepsiin+betaiin;
A10;DIABEEDI RAVIKS KASUTATAVAD AINED;
A10A;INSULIINID JA NENDE ANALOOGID;
A10AB;Lühikese toimeajaga insuliinid ja nende analoogid süstimiseks;
A10AB01;lühikese toimeajaga humaaninsuliin;
A10AB03;lühikese toimeajaga seainsuliin;
A10AB04;lispro-insuliin;
A10AB05;aspart-insuliin;
A10AB06;glulisiin-insuliin;
A10AC;Keskmise toimeajaga insuliinid ja nende analoogid süstimiseks;
A10AC01;keskmise toimeajaga humaaninsuliin;
A10AC03;lühikese toimeajaga seainsuliin;
A10AC04;lispro-insuliin;
A10AD;Keskmise või pika toimeajaga ja lühikese toimeajaga insuliinide ja nende analoogide kombinatsioonid;
A10AD01;lühikese toimeajaga ja keskmise toimeajaga humaaninsuliin;
A10AD03;lühikese toimeajaga seainsuliin;
A10AD04;lispro-insuliin;
A10AD05;aspart-insuliin;
A10AD06;degludek-insuliin+aspart-insuliin;
A10AE;Pika toimeajaga insuliinid ja nende analoogid süstimiseks;
A10AE01;pika toimeajaga humaaninsuliin;
A10AE03;pika toimeajaga seainsuliin;
A10AE04;glargiin-insuliin;
A10AE05;detemir-insuliin;
A10AE06;degludek-insuliin;
A10AE54;glargiin-insuliin+liksisenatiid;
A10AE56;degludek-insuliin+liraglutiid;
A10AF;Insuliinid ja nende analoogid inhaleerimiseks;
A10AF01;humaaninsuliin;
A10B;VERE GLÜKOOSISISALDUST VÄHENDAVAD AINED, V.A INSULIINID;
A10BA;Biguaniidid;
A10BA01;fenformiin;
A10BA02;metformiin;
A10BA03;buformiin;
A10BB;Sulfonüüluurea derivaadid;
A10BB01;glibenklamiid;
A10BB02;kloorpropamiid;
A10BB03;tolbutamiid;
A10BB04;glibornuriid;
A10BB05;tolasamiid;
A10BB06;karbutamiid;
A10BB07;glipisiid;
A10BB08;glikvidoon;
A10BB09;gliklasiid;
A10BB10;metaheksamiid;
A10BB11;glisoksepiid;
A10BB12;glimepiriid;
A10BB31;atsetoheksamiid;
A10BC;Heterotsüklilised sulfoonamiidid;
A10BC01;naatriumglümidiin;
A10BD;Suukaudsete vere glükoosisisaldust vähendavate ainete kombinatsioonid;
A10BD03;metformiin+rosiglitasoon;
A10BD04;glimepiriid+rosiglitasoon;
A10BD05;metformiin+pioglitasoon;
A10BD06;glimepiriid+pioglitasoon;
A10BD07;metformiin+sitagliptiin;
A10BD08;metformiin+vildagliptiin;
A10BD09;pioglitasoon+alogliptiin;
A10BD10;metformiin+saksagliptiin;
A10BD11;metformiin+linagliptiin;
A10BD13;metformiin+alogliptiin;
A10BD15;metformiin+dapagliflosiin;
A10BD16;metformiin+kanagliflosiin;
A10BD19;linagliptiin+empagliflosiin;
A10BD20;metformiin+empagliflosiin;
A10BD21;saksagliptiin+dapagliflosiin;
A10BD23;metformiin+ertugliflosiin;
A10BD24;sitagliptiin+ertugliflosiin;
A10BD25;metformiin+saksagliptiin+dapagliflosiin;
A10BD80;metformiin+glibenklamiid;
A10BF;Alfaglükosidaasi inhibiitorid;
A10BF01;akarboos;
A10BF02;miglitool;
A10BG;Tiasolidiindioonid;
A10BG02;rosiglitasoon;
A10BG03;pioglitasoon;
A10BH;Dipeptüülpeptidaas 4(DPP-4) inhibiitorid;
A10BH01;sitagliptiin;
A10BH02;vildagliptiin;
A10BH03;saksagliptiin;
A10BH04;alogliptiin;
A10BH05;linagliptiin;
A10BJ;Glükagoonilaadse peptiid 1 (GLP-1) analoogid;
A10BJ01;eksenatiid;
